class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9952083333333334,0.0,0.0
cashew healthy,0.0,0.0,0.9775,0.0,0.0
jackfruit algal,0.0,0.0,0.9754166666666667,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.995625,0.0,0.0
jackfruit healthy,0.0,0.0,0.9954166666666666,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.9997916666666666,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9970833333333333,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9583333333333334,0.0,0.0
mango anthracnose,0.8455640744797371,0.965,0.96475,0.9013426736719206,800.0
mango die back,1.0,0.995,1.0,0.9974937343358395,800.0
mango gall midge,0.6838124054462935,0.565,0.94775,0.6187542778918549,800.0
mango healthy,0.9536321483771252,0.77125,0.9925,0.8527988942639945,800.0
mango powdery mildew,0.48955722639933164,0.7325,0.84725,0.586880320480721,800.0
mango sooty mould,0.14893617021276595,0.00875,0.99,0.01652892561983471,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,1.0,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.99375,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,0.9995833333333334,0.0,0.0
