epoch,phase,train_loss,train_acc,val_loss,val_acc,val_score,val_src,mixup,lr,epoch_sec,val_score_raw,val_acc_raw
0,1,2.147570731580554,0.4469651741293532,1.093798966128846,0.8755803156917363,0.8543004195172427,raw,1,0.001,34.69,0.8543004195172427,0.8755803156917363
1,1,1.6743853378770364,0.5739303482587065,1.0006532071360639,0.9220055710306406,0.8933363382847375,raw,1,0.001,12.01,0.8933363382847375,0.9220055710306406
2,2,1.4285288790802457,0.6185074626865672,0.9372261173767189,0.9693593314763231,0.9643238875506713,raw,1,0.0001,29.38,0.9643238875506713,0.9693593314763231
3,2,1.3033245798960253,0.6935323383084577,0.9154294308624339,0.9656453110492108,0.9588938153438329,raw,1,0.0001,30.26,0.9588938153438329,0.9656453110492108
4,2,1.2764928764253114,0.6421890547263681,0.8814825245154159,0.9740018570102136,0.9689807078689312,raw,1,9.968561049466214e-05,30.32,0.9689807078689312,0.9740018570102136
5,2,1.1646448938407707,0.7486567164179104,0.8884931501129101,0.9712163416898792,0.966132954338665,raw,1,9.874639560909117e-05,29.99,0.966132954338665,0.9712163416898792
6,2,1.1896742053292877,0.7263681592039801,0.8597982943113357,0.9860724233983287,0.9829794196560803,raw,1,9.719416651541839e-05,29.78,0.9829794196560803,0.9860724233983287
7,2,1.147961199781788,0.7209950248756218,0.858223929212618,0.9814298978644382,0.9780598289109563,raw,1,9.504844339512095e-05,29.81,0.9780598289109563,0.9814298978644382
8,2,1.1065423884439232,0.7408955223880597,0.8713943792806251,0.9749303621169917,0.970116427804941,raw,1,9.233620996141421e-05,29.57,0.970116427804941,0.9749303621169917
9,2,1.1814056163403526,0.6571144278606965,0.8581458625687198,0.9795728876508821,0.9749981154487983,raw,1,8.90915741234015e-05,29.49,0.9749981154487983,0.9795728876508821
10,2,1.080650156516934,0.7303482587064677,0.8478077665012859,0.9860724233983287,0.9834200804046853,raw,1,8.535533905932738e-05,29.54,0.9834200804046853,0.9860724233983287
11,2,1.0899321844447312,0.7576119402985074,0.8381333491153593,0.9777158774373259,0.9739939151985766,raw,1,8.117449009293668e-05,29.63,0.9739939151985766,0.9777158774373259
12,2,1.099403353603325,0.7301492537313433,0.8697188002374733,0.9777158774373259,0.9693085792284587,raw,1,7.660160382576683e-05,29.34,0.9693085792284587,0.9777158774373259
13,2,1.1180521873692375,0.7136318407960199,0.8327892600881245,0.9870009285051068,0.9837040364960947,raw,1,7.169418695587791e-05,29.45,0.9837040364960947,0.9870009285051068
14,2,1.0627413006208428,0.6790049751243781,0.8245206702718496,0.989786443825441,0.9881087378678958,raw,1,6.651395309775837e-05,29.49,0.9881087378678958,0.989786443825441
15,2,1.0714520189418129,0.7028855721393035,0.8275625145645638,0.9907149489322191,0.9885349282315927,raw,1,6.112604669781572e-05,29.68,0.9885349282315927,0.9907149489322191
16,2,1.0686200091732083,0.7217910447761194,0.8221811086575854,0.9907149489322191,0.9889469851658108,raw,1,5.5598223805165385e-05,29.41,0.9889469851658108,0.9907149489322191
17,2,1.0934039399161268,0.7160199004975124,0.8338576115273499,0.9888579387186629,0.9856196310776791,raw,1,5e-05,29.56,0.9856196310776791,0.9888579387186629
18,2,1.0898020387644791,0.6961194029850746,0.8214697595979731,0.9888579387186629,0.9863572310597913,raw,1,4.440177619483462e-05,29.36,0.9863572310597913,0.9888579387186629
19,2,1.0727633394293523,0.6676616915422886,0.819954379355343,0.9916434540389972,0.9895136604057173,raw,1,3.887395330218429e-05,29.45,0.9895136604057173,0.9916434540389972
20,2,1.0273705463029852,0.7148258706467662,0.8261821701666107,0.9907149489322191,0.987993474296999,raw,1,3.3486046902241643e-05,29.29,0.987993474296999,0.9907149489322191
21,2,1.0716614860325904,0.7120398009950248,0.8220536164807963,0.9907149489322191,0.9881860565533759,raw,1,2.8305813044122097e-05,29.47,0.9881860565533759,0.9907149489322191
22,2,1.096258721209284,0.7520398009950249,0.8265886404166757,0.9879294336118849,0.985448843569868,raw,1,2.3398396174233178e-05,29.37,0.985448843569868,0.9879294336118849
23,2,1.0902949013757468,0.6881592039800996,0.8237610664651033,0.9907149489322191,0.9879447520161128,raw,1,1.8825509907063327e-05,29.46,0.9879447520161128,0.9907149489322191
24,2,0.6268752546334148,0.9978109452736318,0.914037212798633,0.9916434540389972,0.9896963394177016,raw,0,1.4644660940672627e-05,29.2,0.9896963394177016,0.9916434540389972
25,2,0.6178716692877053,0.9992039800995025,0.9439986626528543,0.9925719591457753,0.9906395003785621,raw,0,1.0908425876598528e-05,29.39,0.9906395003785621,0.9925719591457753
26,2,0.6166481232050046,0.9988059701492538,0.9625837471934525,0.9916434540389972,0.9890746601197049,raw,0,7.663790038585793e-06,29.41,0.9890746601197049,0.9916434540389972
27,2,0.6141960462883337,0.9990049751243781,0.9742752272659911,0.9916434540389972,0.9890437312962066,raw,0,4.951556604879048e-06,29.48,0.9890437312962066,0.9916434540389972
28,2,0.6144809659322102,0.9990049751243781,0.9812937864243375,0.9907149489322191,0.9877746935618013,raw,0,2.8058334845816213e-06,29.25,0.9877746935618013,0.9907149489322191
29,2,0.6132273069424415,0.9998009950248756,0.9846576986870725,0.989786443825441,0.986445557269461,raw,0,1.2536043909088136e-06,29.13,0.986445557269461,0.989786443825441
30,2,0.6130111199469116,0.9994029850746269,0.986089454387888,0.989786443825441,0.986445557269461,raw,0,3.143895053378698e-07,29.25,0.986445557269461,0.989786443825441
31,2,0.6134540736971803,0.9994029850746269,0.9864731655147414,0.989786443825441,0.986445557269461,raw,0,0.0,29.21,0.986445557269461,0.989786443825441
