epoch,phase,train_loss,train_acc,val_loss,val_acc,val_score,val_src,mixup,lr,epoch_sec,val_score_raw,val_acc_raw,val_score_ema,val_acc_ema
0,1,2.0808504429148202,0.45353233830845774,1.0670903293535239,0.9164345403899722,0.9046104188744527,ema,1,0.001,37.17,0.8589092656727353,0.883008356545961,0.9046104188744527,0.9164345403899722
1,1,1.4954273272984064,0.6007960199004975,0.9616243839263916,0.9507892293407614,0.9435616446707368,ema,1,0.001,14.42,0.9244818644201969,0.9331476323119777,0.9435616446707368,0.9507892293407614
2,2,1.4661642097003424,0.6811940298507463,0.9425629629730182,0.9721448467966574,0.9666018632029014,ema,1,0.0001,32.62,0.9527358224448593,0.9619312906220984,0.9666018632029014,0.9721448467966574
3,2,1.334947827716372,0.651542288557214,0.941671980346035,0.9795728876508821,0.9747217169767957,ema,1,0.0001,32.49,0.9594047104500547,0.9665738161559888,0.9747217169767957,0.9795728876508821
4,2,1.289605485171228,0.6734328358208955,0.9223782332716103,0.9777158774373259,0.9725150015627206,ema,1,9.968561049466214e-05,32.45,0.9661569495635234,0.9730733519034355,0.9725150015627206,0.9777158774373259
5,2,1.2013374606649674,0.7030845771144278,0.8716041341133437,0.9805013927576601,0.9768079814400836,raw,1,9.874639560909117e-05,32.54,0.9768079814400836,0.9805013927576601,0.9728789453221834,0.9777158774373259
6,2,1.1412237981302822,0.7379104477611941,0.8692143142168015,0.9851439182915506,0.981542666214873,ema,1,9.719416651541839e-05,32.38,0.9723783949421086,0.9777158774373259,0.981542666214873,0.9851439182915506
7,2,1.1516392254948022,0.6919402985074626,0.8636733635000975,0.9814298978644382,0.9766945674656127,ema,1,9.504844339512095e-05,32.19,0.974255835896078,0.9777158774373259,0.9766945674656127,0.9814298978644382
8,2,1.1719749252594525,0.7598009950248756,0.8536418888894296,0.9823584029712163,0.9779866704091076,ema,1,9.233620996141421e-05,32.1,0.9680888539972705,0.9721448467966574,0.9779866704091076,0.9823584029712163
9,2,1.1100028819112635,0.7090547263681592,0.8457441069842935,0.9879294336118849,0.9848915348479385,ema,1,8.90915741234015e-05,32.2,0.9802534180795051,0.9842154131847726,0.9848915348479385,0.9879294336118849
10,2,1.1284214731116793,0.6304477611940299,0.8443632930544869,0.9860724233983287,0.9824722309223174,ema,1,8.535533905932738e-05,31.76,0.9821634688130852,0.9860724233983287,0.9824722309223174,0.9860724233983287
11,2,1.1182317050298054,0.7269651741293532,0.8380698278864557,0.9879294336118849,0.983840999590091,ema,1,8.117449009293668e-05,32.63,0.9810318356591649,0.9851439182915506,0.983840999590091,0.9879294336118849
