split,model,standard_mean,standard_std,standard_n_seeds,standard,matched_mean,matched_std,matched_n_seeds,matched,recipe_effect,proposed_mean,architecture_effect
internal_test,caformer_s18.sail_in22k_ft_in1k,0.9805676666666666,0.006175388273892863,3,0.9805676666666666,0.9838503333333333,0.0017561305000862587,3,0.9838503333333333,0.003282666666666656,0.9828083333333333,-0.0010419999999999874
internal_test,efficientnet_b3,0.9774746666666667,0.006888838532970083,3,0.9774746666666667,0.9794903333333332,0.0046213180298842575,3,0.9794903333333332,0.002015666666666527,0.9828083333333333,0.003318000000000043
internal_test,legacy_seresnext50_32x4d,0.986789,0.000844770383003601,3,0.986789,0.9837606666666666,0.004583378048266741,3,0.9837606666666666,-0.0030283333333334106,0.9828083333333333,-0.0009523333333333328
internal_test,swin_small_patch4_window7_224,0.9846086666666666,0.002754385654430604,3,0.9846086666666666,0.9813353333333333,0.0029628535794624343,3,0.9813353333333333,-0.0032733333333332393,0.9828083333333333,0.0014729999999999466
internal_test,vit_small_patch16_224,0.981907,0.004288778264261281,3,0.981907,0.983186,0.0007796306817975295,3,0.983186,0.0012790000000000301,0.9828083333333333,-0.00037766666666672055
external,caformer_s18.sail_in22k_ft_in1k,0.6543426666666666,0.008311977883352037,3,0.6543426666666666,0.6530903333333333,0.02794530925456599,3,0.6530903333333333,-0.0012523333333332998,0.6817676666666667,0.028677333333333332
external,efficientnet_b3,0.6617820000000001,0.010989540436251182,3,0.6617820000000001,0.629941,0.011571292581211517,3,0.629941,-0.03184100000000012,0.6817676666666667,0.05182666666666669
external,legacy_seresnext50_32x4d,0.6911866666666667,0.020143003408959016,3,0.6911866666666667,0.6400483333333334,0.035574490499982334,3,0.6400483333333334,-0.051138333333333286,0.6817676666666667,0.04171933333333322
external,swin_small_patch4_window7_224,0.6973566666666665,0.022006936641280492,3,0.6973566666666665,0.684812,0.0027807892764464917,3,0.684812,-0.012544666666666537,0.6817676666666667,-0.0030443333333333156
external,vit_small_patch16_224,0.660942,0.025215147649775914,3,0.660942,0.626391,0.029132773142974234,3,0.626391,-0.034551,0.6817676666666667,0.05537666666666663
