variant,f1_macro_mean_int,f1_macro_std_int,f1_macro_n,delta_vs_full,wilcoxon_p,cohens_d,cohens_dz,wilcoxon_p_holm,significant_holm,accuracy_mean,accuracy_std,f1_macro_mean_ext,f1_macro_std_ext,delta_int_pp,delta_ext_pp,delta_ext_acc_pp
wo_pretrained,0.9236156666666666,0.0044020109419824,3,-0.0615096666666667,0.25,13.932193106683478,15.976424520939656,1.0,False,0.3930555555555555,0.029014733246583,0.3872507040365838,0.0195605139371904,6.15096666666668,28.783282483439066,30.06944444444445
wo_llrd,0.986104,0.0032877966786284,3,0.0009786666666665,0.75,-0.2509602504884406,-0.3998575292489906,1.0,False,0.6201388888888889,0.0636138024054644,0.6245227679128068,0.0580531352977163,-0.09786666666665722,5.056076095816763,7.361111111111107
wo_mixup,0.9839116666666669,0.00652168853391,3,-0.0012136666666666,0.75,0.2177388741689243,0.2583247011097291,1.0,False,0.6534722222222222,0.0336665205579888,0.6268692827597744,0.0408427349018263,0.12136666666665574,4.8214246111200065,4.027777777777775
wo_mixstyle,0.985868,0.0034184919189607,3,0.0007426666666665,0.75,-0.1877564905326341,-0.3193179881486311,1.0,False,0.6127083333333333,0.0346716993542443,0.6339445557297664,0.0356412874705361,-0.07426666666665582,4.113897314120807,8.104166666666668
wo_label_smoothing,0.9868083333333332,0.0058313708794188,3,0.0016829999999998,0.5,-0.3250682421415035,-0.6196232587061766,1.0,False,0.6724305555555555,0.0313832805953412,0.6423433193747121,0.0451728167709386,-0.1682999999999768,3.274020949626233,2.1319444444444446
wo_tta,0.985913,0.0037284421679838,3,0.0007876666666666,1.0,-0.1924380497855544,-0.1472168133183032,1.0,False,0.6536805555555555,0.0413132581736895,0.6439810751508809,0.0315874348272052,-0.0787666666666631,3.110245372009357,4.006944444444449
wo_mixup_cooldown,0.9846285,0.0051498586873815,2,-0.0004968333333333,0.5,0.2803851004383157,2.631195148020288,1.0,False,0.6561111111111111,0.0364388837009364,0.6499601624666762,0.0286788172663971,0.049683333333339075,2.512336640429824,3.763888888888889
wo_lap,0.9852423333333332,0.0032808087925591,3,0.0001169999999999,1.0,-0.0300250650728542,-0.0425607622891222,1.0,False,0.655625,0.0266495713432275,0.6540889257642595,0.0274892836932084,-0.01169999999998117,2.099460310671497,3.8124999999999964
wo_ema,0.9839943333333334,0.0052078938481245,3,-0.0011309999999999,1.0,0.2339863248587994,0.1218196346834112,1.0,False,0.6874305555555557,0.0553909453674849,0.662429418700861,0.0580807630616179,0.11309999999999931,1.265411017011342,0.6319444444444322
wo_beta_calib,0.9880016666666668,0.0050781012527649,3,0.0028763333333333,0.25,-0.6037560593687301,-3.8945102424537055,1.0,False,0.6929861111111112,0.0137820543877952,0.6626398520331983,0.0142970588540439,-0.28763333333333696,1.244367683777614,0.07638888888887863
wo_random_erasing,0.9851103333333334,0.0064461530646838,3,-1.4999999999987246e-05,1.0,0.002712552467562,0.0030319536840733,1.0,False,0.6614583333333334,0.0303824007902234,0.6631742090501899,0.0181027218627481,0.0014999999999987246,1.190931982078458,3.2291666666666607
wo_two_phase,0.986185,0.0054631169674462,3,0.0010596666666665,1.0,-0.2131061460630774,-0.2624054869721454,1.0,False,0.7002777777777777,0.0179569959543266,0.6717521770308492,0.0138627376535705,-0.105966666666657,0.33313518401252296,-0.6527777777777688
full,0.9851253333333334,0.0044278127030547,3,,,,,,False,0.69375,0.0096891799618611,0.6750835288709744,0.0047008094935762,0.0,0.0,0.0
wo_msf,0.987468,0.0020946023488958,3,0.0023426666666667,0.5,-0.6763698898830155,-0.9718647396126656,1.0,False,0.6840972222222222,0.0368663674766842,0.6758503149878226,0.0268650235459064,-0.2342666666666604,-0.0766786116848106,0.9652777777777732
wo_hier,0.9864316666666668,0.0013624277350866,3,0.0013063333333332,0.75,-0.3987829630207729,-0.3558587191435798,1.0,False,0.6861805555555556,0.0188208537807676,0.6764069050916709,0.0214253572893847,-0.13063333333334093,-0.13233762206964483,0.7569444444444406
wo_lap_gate,0.985271,0.002259101812668,3,0.0001456666666665,1.0,-0.0414426017511169,-0.0623685400518001,1.0,False,0.6894444444444444,0.0169472902892512,0.6788960078105001,0.0146944667372758,-0.014566666666659955,-0.3812478939525632,0.43055555555555625
wo_sampler,0.9862806666666668,0.0043331926259206,3,0.0011553333333332,1.0,-0.2637290847500205,-0.4320837561655963,1.0,False,0.7027777777777778,0.0179618293838577,0.683526964628591,0.0260507811884836,-0.1155333333333397,-0.8443435757616524,-0.9027777777777857
