class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9658333333333333,0.0,0.0
cashew healthy,0.0,0.0,0.9904166666666666,0.0,0.0
jackfruit algal,0.0,0.0,0.9839583333333334,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9877083333333333,0.0,0.0
jackfruit healthy,0.0,0.0,1.0,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.9995833333333334,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.994375,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9452083333333333,0.0,0.0
mango anthracnose,0.8309178743961353,0.86,0.965,0.8452088452088452,800.0
mango die back,1.0,0.995,1.0,0.9974937343358395,800.0
mango gall midge,0.781733746130031,0.63125,0.96475,0.6984785615491009,800.0
mango healthy,0.938382541720154,0.91375,0.988,0.9259024699176694,800.0
mango powdery mildew,0.5305738476011289,0.705,0.87525,0.605475040257649,800.0
mango sooty mould,0.022727272727272728,0.00125,0.98925,0.002369668246445498,800.0
tomato bacterial spot,0.0,0.0,0.99875,0.0,0.0
tomato blight,0.0,0.0,1.0,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,1.0,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
