,cashew fungal infection,cashew healthy,jackfruit algal,jackfruit anthracnose,jackfruit phyllosticta,jackfruit sooty mold,mango anthracnose,mango die back,mango gall midge,mango healthy,mango powdery mildew,mango sooty mould
mango anthracnose,0.009583333333333334,0.0,0.0,0.0,0.0008333333333333334,0.004166666666666667,0.9566666666666667,0.0,0.015416666666666664,0.0,0.0,0.0008333333333333334
mango die back,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.9700000000000001,0.0016666666666666668,0.0,0.025833333333333333,0.0
mango gall midge,0.009583333333333334,0.0004166666666666667,0.04708333333333334,0.02041666666666667,0.0004166666666666667,0.03,0.16125,0.0,0.6158333333333333,0.03333333333333333,0.07041666666666667,0.005833333333333333
mango healthy,0.0008333333333333334,0.0175,0.0,0.0,0.0,0.010416666666666666,0.0037500000000000003,0.0,0.00125,0.9616666666666666,0.0,0.0
mango powdery mildew,0.00375,0.008333333333333333,0.0,0.010833333333333334,0.004583333333333333,0.07708333333333332,0.03916666666666666,0.0,0.08541666666666665,0.02416666666666667,0.6866666666666666,0.059166666666666666
mango sooty mould,0.05499999999999999,0.0,0.009583333333333334,0.0,0.017916666666666668,0.07125000000000001,0.043750000000000004,0.0,0.13,0.013749999999999998,0.6425,0.005416666666666667
