class,prec,prec_sd,rec,rec_sd,f1,f1_sd,support
mango die back,0.9995709995709996,0.0007430505394975436,0.9833333333333334,0.012583057392117873,0.991361391349252,0.006738768332748618,800.0
mango healthy,0.949981915713388,0.021038614550565302,0.9029166666666667,0.02716653885450503,0.9256048997793398,0.016122469018412692,800.0
mango anthracnose,0.8804848005833937,0.0039090694293243446,0.9025,0.018413649828320285,0.8912993982197794,0.009673710436478692,800.0
mango gall midge,0.6763012817233882,0.014377742031720863,0.67875,0.06712860791048779,0.67653755790865,0.03794707269878975,800.0
mango powdery mildew,0.49755286787127045,0.026562578783239053,0.7512500000000001,0.06936092199502546,0.5966275279063747,0.002013238456390972,800.0
mango sooty mould,0.05555555555555553,0.09622504486493759,0.005,0.008660254037844387,0.0091743119266055,0.01589037438136584,800.0
