,cashew fungal infection,cashew healthy,jackfruit algal,jackfruit anthracnose,jackfruit healthy,jackfruit phyllosticta,jackfruit sooty mold,mango anthracnose,mango die back,mango gall midge,mango healthy,mango powdery mildew,mango sooty mould,tomato insect damage
mango anthracnose,0.03916666666666666,0.0,0.0,0.0,0.0008333333333333334,0.0020833333333333333,0.014583333333333332,0.9025,0.0,0.035833333333333335,0.0,0.0,0.0008333333333333334,0.00125
mango die back,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.9833333333333334,0.0025,0.0,0.012499999999999999,0.0,0.0
mango gall midge,0.006250000000000001,0.0004166666666666667,0.022500000000000003,0.04374999999999999,0.0,0.0004166666666666667,0.030833333333333334,0.09625,0.0,0.67875,0.011250000000000001,0.10458333333333332,0.00375,0.0004166666666666667
mango healthy,0.0,0.03375,0.0,0.0,0.013333333333333334,0.0004166666666666667,0.041666666666666664,0.00375,0.0004166666666666667,0.002916666666666667,0.9029166666666667,0.0,0.0,0.0
mango powdery mildew,0.0016666666666666668,0.014583333333333332,0.0,0.010833333333333334,0.0,0.009166666666666667,0.06583333333333334,0.004166666666666667,0.0,0.0775,0.025416666666666667,0.7512499999999999,0.03791666666666667,0.00125
mango sooty mould,0.02625,0.0004166666666666667,0.002916666666666667,0.004166666666666667,0.0,0.014166666666666666,0.0425,0.018333333333333333,0.0,0.2058333333333333,0.011250000000000001,0.6495833333333334,0.005,0.015833333333333335
