cfg,seed,f1_macro_A,accuracy_A,f1_macro_B,accuracy_B,dF1_pp,dAcc_pp
benchmark/swin_small_patch4_window7_224,1234,0.98925,0.991643,0.987543,0.990715,0.1707000000000014,0.09280000000000399
benchmark/deit3_small_patch16_224,1234,0.978892,0.983287,0.976768,0.98143,0.21240000000000148,0.18569999999999975
benchmark/caformer_s18.sail_in22k_ft_in1k,1234,0.981926,0.985144,0.982443,0.987001,-0.05169999999999897,-0.18569999999999975
proposed/Proposed_HMLA_CAFormerS18,2024,0.985798,0.989786,0.984014,0.987929,0.17839999999998968,0.18570000000001086
benchmark/resnet50,2024,0.973702,0.978644,0.975424,0.979573,-0.17220000000000013,-0.09290000000000687
benchmark/resnet101,2024,0.970169,0.975859,0.969368,0.974002,0.08009999999999406,0.18569999999999975
benchmark/densenet121,2024,0.97827,0.982358,0.980822,0.985144,-0.25519999999999987,-0.2786000000000066
benchmark/densenet201,2024,0.980489,0.984215,0.984145,0.987001,-0.36559999999999926,-0.2786000000000066
benchmark/vgg16,2024,0.982609,0.986072,0.983915,0.987001,-0.13060000000000294,-0.09290000000000687
benchmark/vgg19,2024,0.976189,0.98143,0.986821,0.989786,-1.0631999999999975,-0.835600000000003
benchmark/inception_v3,2024,0.979963,0.983287,0.98449,0.987929,-0.4526999999999948,-0.4641999999999924
benchmark/legacy_xception,2024,0.975866,0.980501,0.981132,0.985144,-0.5265999999999993,-0.4643000000000064
benchmark/resnext50_32x4d,2024,0.975218,0.979573,0.980748,0.984215,-0.5529999999999924,-0.4641999999999924
benchmark/legacy_seresnext50_32x4d,2024,0.983099,0.987001,0.986018,0.988858,-0.2919000000000005,-0.18569999999999975
benchmark/mobilenetv3_large_100,2024,0.981982,0.986072,0.97956,0.984215,0.24220000000000352,0.18569999999999975
benchmark/mobilenetv2_100,2024,0.97317,0.977716,0.97519,0.978644,-0.20200000000000218,-0.09279999999999289
benchmark/efficientnet_b0,2024,0.979548,0.983287,0.979548,0.983287,0.0,0.0
benchmark/efficientnet_b3,2024,0.983252,0.987001,0.980734,0.985144,0.251800000000002,0.18569999999999975
benchmark/mnasnet_100,2024,0.974722,0.978644,0.975598,0.979573,-0.08759999999999879,-0.09290000000000687
benchmark/regnety_016,2024,0.978716,0.983287,0.975664,0.980501,0.30520000000000547,0.2786000000000066
benchmark/ghostnet_100,2024,0.97983,0.984215,0.978322,0.982358,0.15079999999999538,0.18569999999999975
benchmark/convnext_tiny,2024,0.984749,0.987929,0.982634,0.986072,0.2114999999999978,0.18569999999999975
benchmark/convnext_small,2024,0.988661,0.991643,0.985684,0.988858,0.29770000000000074,0.27850000000000374
benchmark/vit_small_patch16_224,2024,0.981767,0.986072,0.986374,0.988858,-0.4607000000000028,-0.2786000000000066
benchmark/vit_base_patch16_224,2024,0.980719,0.984215,0.98333,0.987001,-0.261100000000003,-0.2786000000000066
benchmark/swin_tiny_patch4_window7_224,2024,0.976407,0.980501,0.982051,0.986072,-0.5643999999999982,-0.5570999999999993
benchmark/swin_small_patch4_window7_224,2024,0.982992,0.987001,0.984204,0.987929,-0.12119999999999909,-0.09279999999999289
benchmark/deit3_small_patch16_224,2024,0.979974,0.984215,0.981038,0.984215,-0.10639999999999539,0.0
benchmark/caformer_s18.sail_in22k_ft_in1k,2024,0.985154,0.988858,0.985588,0.988858,-0.043400000000004546,0.0
