class,prec,prec_sd,rec,rec_sd,f1,f1_sd,support
mango die back,1.0,0.0,0.9700000000000001,0.0330718913883074,0.9845792157862494,0.017187556753949482,800.0
mango healthy,0.9318821311618497,0.024273822580177136,0.9616666666666668,0.026259918760981226,0.9460935521836388,0.0024106318307714337,800.0
mango anthracnose,0.8096707696549709,0.11857388284919015,0.9566666666666667,0.03260400026581607,0.8721866721515424,0.06028364420217452,800.0
mango gall midge,0.7267991617461854,0.03301360297665522,0.6158333333333333,0.08263562085041377,0.6641340406092049,0.04349618222613442,800.0
mango powdery mildew,0.48495629423693876,0.052677642936577965,0.6866666666666666,0.0765397500213669,0.5665467893949474,0.04796326908079252,800.0
mango sooty mould,0.08874570446735393,0.11978751883546494,0.005416666666666667,0.005636562191028618,0.010115729680947034,0.010764326562422984,800.0
