experiment,model,seed,accuracy,balanced_accuracy,top5_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,sensitivity_macro,specificity_macro,g_mean_macro,cohen_kappa,mcc,auc_macro_ovr,auc_weighted_ovr,average_precision_macro,log_loss,ece,n_zero_recall_classes
ablation,full,1234,0.6935416666666666,0.6935416666666666,0.9260416666666667,0.6798096573664186,0.6935416666666666,0.67712851942508,0.6798096573664186,0.6935416666666666,0.67712851942508,0.6935416666666666,0.9558749999999999,0.3518191972531615,0.6384564968048501,0.651257271707517,0.9260372916666667,0.9260372916666667,0.7753188742694114,1.2294248342514038,0.08692296154486637,0
ablation,full,2024,0.7035416666666666,0.7035416666666666,0.9102083333333333,0.664109440831076,0.7035416666666666,0.6784154704254891,0.664109440831076,0.7035416666666666,0.6784154704254891,0.7035416666666666,0.957125,0.2806851550755957,0.6499959006313027,0.6624737512368398,0.9319123697916666,0.9319123697916666,0.7722811173130911,1.2260854244232178,0.06861576370584464,0
ablation,full,42,0.6841666666666667,0.6841666666666667,0.8858333333333334,0.6852082003400874,0.6841666666666667,0.6697065967623542,0.6852082003400876,0.6841666666666667,0.6697065967623542,0.6841666666666667,0.9569583333333332,0.370029601143222,0.6284769023403994,0.6420995235828875,0.9229829166666668,0.9229829166666668,0.748493708489779,1.310676097869873,0.11033822707210976,0
ablation,wo_beta_calib,1234,0.7004166666666667,0.7004166666666668,0.9516666666666667,0.6705622330444182,0.7004166666666668,0.6759277526841224,0.6705622330444181,0.7004166666666667,0.6759277526841225,0.7004166666666668,0.9524583333333334,0.33756398434382473,0.6448944314112853,0.6589695468379011,0.8897191666666667,0.8897191666666667,0.7102199922985553,1.2554079294204712,0.16398931190992394,0
ablation,wo_beta_calib,2024,0.6770833333333334,0.6770833333333334,0.9233333333333333,0.6427081345142168,0.6770833333333334,0.6475118187228537,0.6427081345142168,0.6770833333333334,0.6475118187228536,0.6770833333333334,0.9540416666666668,0.26574422494415556,0.6195852251810038,0.6344941868086358,0.89399234375,0.8939923437500001,0.7422932555169272,1.366597294807434,0.1890799846500158,0
ablation,wo_beta_calib,42,0.7014583333333333,0.7014583333333332,0.9627083333333334,0.6515197956861647,0.7014583333333332,0.6644799846926189,0.6515197956861647,0.7014583333333333,0.6644799846926188,0.7014583333333332,0.948875,0.00853959759999348,0.6447988102123441,0.6642748931755684,0.9301033854166666,0.9301033854166667,0.7761306488347844,1.1992679834365845,0.1704498320321242,1
ablation,wo_ema,1234,0.7491666666666666,0.7491666666666666,0.945625,0.7319180685861525,0.7491666666666666,0.729349406648022,0.7319180685861523,0.7491666666666666,0.7293494066480221,0.7491666666666666,0.9670416666666668,0.46140763707527843,0.7040920820874124,0.7155860440531936,0.9473714583333334,0.9473714583333332,0.8102763041408525,0.9771708250045776,0.047066706847399456,0
ablation,wo_ema,2024,0.6710416666666666,0.6710416666666666,0.9052083333333333,0.6154043721586965,0.6710416666666666,0.6251403977381251,0.6154043721586966,0.6710416666666666,0.6251403977381251,0.6710416666666666,0.9435833333333332,0.007874543509202206,0.6089164086687306,0.6286370760761909,0.8989666666666666,0.8989666666666667,0.7159262870221931,1.4194101095199585,0.1367336602167537,1
ablation,wo_ema,42,0.6420833333333333,0.6420833333333333,0.9054166666666666,0.6510534937663411,0.6420833333333333,0.6327984517164361,0.6510534937663411,0.6420833333333333,0.6327984517164362,0.6420833333333333,0.9513333333333334,0.25570856729336605,0.580122199592668,0.594191601716432,0.9191924479166667,0.9191924479166667,0.7393077071682056,1.4250602722167969,0.1293402298633009,0
ablation,wo_hier,1234,0.6647916666666667,0.6647916666666667,0.865625,0.6860972774263194,0.6647916666666667,0.6520687433991235,0.6860972774263194,0.6647916666666667,0.6520687433991235,0.6647916666666667,0.9502499999999999,0.3250797890856726,0.6045873438459963,0.6214618055518255,0.8842844270833333,0.8842844270833332,0.7187303528597179,1.407518982887268,0.1228765992199381,0
ablation,wo_hier,2024,0.7002083333333333,0.7002083333333333,0.9002083333333334,0.6805088838466808,0.7002083333333333,0.6847306837328695,0.6805088838466808,0.7002083333333333,0.6847306837328696,0.7002083333333333,0.9576666666666666,0.008617095662187976,0.6464807763174057,0.6587238253620289,0.9155484375,0.9155484375000001,0.7451603732669,1.2554106712341309,0.07622825819998978,1
ablation,wo_hier,42,0.6935416666666666,0.6935416666666666,0.85875,0.7067085560591014,0.6935416666666666,0.6924212881430196,0.7067085560591014,0.6935416666666666,0.6924212881430194,0.6935416666666666,0.9674583333333334,0.2802109852670839,0.6425273390036452,0.6563722411212114,0.9189160156249999,0.918916015625,0.7591841155530444,1.3206262588500977,0.03805061038273076,0
ablation,wo_label_smoothing,1234,0.63625,0.63625,0.8985416666666667,0.5968483366944086,0.63625,0.5902151898902478,0.5968483366944086,0.63625,0.5902151898902478,0.63625,0.9377083333333333,0.007432471662024446,0.5680178136984042,0.590624885590222,0.9004976041666667,0.9004976041666669,0.7047428929522344,1.9180737733840942,0.26056420370936395,1
ablation,wo_label_smoothing,2024,0.6922916666666666,0.6922916666666667,0.9366666666666666,0.665842410566569,0.6922916666666667,0.6700126761025289,0.6658424105665691,0.6922916666666666,0.6700126761025289,0.6922916666666667,0.9575416666666667,0.008368917476409965,0.6376645678305667,0.6543700755172043,0.9091178125,0.9091178124999999,0.7296599663676885,1.6051403284072876,0.20943005624537664,1
ablation,wo_label_smoothing,42,0.68875,0.6887500000000001,0.9416666666666667,0.6601699429085758,0.6887500000000001,0.6668020921313597,0.6601699429085758,0.68875,0.6668020921313598,0.6887500000000001,0.953375,0.3108443596462143,0.6322461538461539,0.6451913335355769,0.9202262500000001,0.9202262499999999,0.7490791929094897,1.4862115383148193,0.18705898381148772,0
ablation,wo_lap,1234,0.625,0.625,0.9047916666666667,0.6482621573942424,0.625,0.6228821127901789,0.6482621573942423,0.625,0.6228821127901789,0.625,0.95325,0.3610565930070211,0.562363238512035,0.573654962600157,0.9115199479166667,0.9115199479166667,0.7211027721171476,1.4149302244186401,0.10017449263483287,0
ablation,wo_lap,2024,0.6683333333333333,0.6683333333333333,0.91875,0.6978054135820644,0.6683333333333333,0.6747184476465394,0.6978054135820643,0.6683333333333333,0.6747184476465397,0.6683333333333333,0.9659166666666666,0.33679851490304674,0.6144344877694358,0.6263074077564956,0.9206494270833333,0.9206494270833334,0.749914267250717,1.4097604751586914,0.138888065032661,0
ablation,wo_lap,42,0.6735416666666667,0.6735416666666666,0.8841666666666667,0.6732894188802345,0.6735416666666666,0.6646662168560601,0.6732894188802344,0.6735416666666667,0.6646662168560602,0.6735416666666666,0.9630416666666667,0.0081485756066592,0.6190437601296597,0.6329153394441192,0.9272235416666668,0.9272235416666667,0.7582379020670381,1.331681489944458,0.09642325752725205,1
ablation,wo_lap_gate,1234,0.6716666666666666,0.6716666666666667,0.8991666666666667,0.709146434836292,0.6716666666666667,0.6858998675796709,0.7091464348362921,0.6716666666666666,0.6858998675796709,0.6716666666666667,0.9697083333333333,0.35536216114751806,0.6194615477484003,0.6306294129753051,0.9351371354166668,0.9351371354166668,0.7810109339131719,1.305999994277954,0.06824286121254168,0
ablation,wo_lap_gate,2024,0.7054166666666667,0.7054166666666667,0.9172916666666666,0.6829549270640758,0.7054166666666667,0.6887782780866732,0.6829549270640757,0.7054166666666667,0.6887782780866731,0.7054166666666667,0.9595416666666666,0.008642369411956816,0.6529067626723397,0.6677410299919045,0.9107442447916667,0.9107442447916666,0.7403428456121515,1.2799981832504272,0.08980335226282475,1
ablation,wo_lap_gate,42,0.69125,0.6912500000000001,0.826875,0.651411723796054,0.6912500000000001,0.6620098777651562,0.651411723796054,0.69125,0.6620098777651562,0.6912500000000001,0.953,0.3069151834578484,0.6348854397634885,0.6475989544609398,0.9033301041666668,0.9033301041666666,0.7422546948072403,1.3656827211380005,0.10687212804332377,0
ablation,wo_llrd,1234,0.6935416666666666,0.6935416666666666,0.9129166666666667,0.7053752711552383,0.6935416666666666,0.6867782598929394,0.7053752711552383,0.6935416666666666,0.6867782598929394,0.6935416666666666,0.9613749999999999,0.3940209369403523,0.6404009126466754,0.6529784626963467,0.9287865625,0.9287865625,0.7725011741567945,1.2382351160049438,0.054405261380597966,0
ablation,wo_llrd,2024,0.5858333333333333,0.5858333333333333,0.83125,0.6558396379470947,0.5858333333333333,0.5718692976229942,0.6558396379470945,0.5858333333333333,0.5718692976229943,0.5858333333333333,0.9549166666666666,0.0065217921510987665,0.521079258010118,0.543791846589557,0.8965081770833333,0.8965081770833333,0.7049526690474806,1.7737007141113281,0.16744363436475398,1
ablation,wo_llrd,42,0.5810416666666667,0.5810416666666667,0.840625,0.670874234661501,0.5810416666666667,0.6149207462224868,0.670874234661501,0.5810416666666667,0.6149207462224868,0.5810416666666667,0.965875,0.23300828137491145,0.5210384248967928,0.5341143474173273,0.8976409375,0.8976409375,0.7100667590973663,1.686456561088562,0.1642305985869219,0
ablation,wo_mixstyle,1234,0.5727083333333334,0.5727083333333334,0.831875,0.6435029252697629,0.5727083333333334,0.5934277287810491,0.6435029252697629,0.5727083333333334,0.5934277287810491,0.5727083333333334,0.952375,0.23744747442182182,0.505941866067127,0.5199442488158964,0.8856429166666667,0.8856429166666665,0.695775997430154,1.6272311210632324,0.11028966451063753,0
ablation,wo_mixstyle,2024,0.63125,0.63125,0.8529166666666667,0.6947847467443014,0.63125,0.6479506557872236,0.6947847467443014,0.63125,0.6479506557872234,0.63125,0.9646666666666667,0.0078202198226626,0.5738704758847604,0.5911529709688631,0.9120928645833334,0.9120928645833332,0.7656275377017265,1.461214542388916,0.08357685514415303,1
ablation,wo_mixstyle,42,0.6341666666666667,0.6341666666666667,0.8475,0.6962028231590697,0.6341666666666667,0.6604552826210267,0.6962028231590696,0.6341666666666667,0.6604552826210266,0.6341666666666667,0.9680833333333333,0.007879382960645586,0.5783913565426171,0.5941244402382371,0.9040882552083334,0.9040882552083334,0.7478338254110626,1.5505508184432983,0.11028525679061812,1
ablation,wo_mixup,1234,0.616875,0.616875,0.8060416666666667,0.6402381120993127,0.616875,0.5827169251867166,0.6402381120993126,0.616875,0.5827169251867166,0.616875,0.9481666666666665,0.3050152760860489,0.5513722301280748,0.5713368000973674,0.9070057291666666,0.9070057291666668,0.7052808555966853,1.5903961658477783,0.12544231315453847,0
ablation,wo_mixup,2024,0.683125,0.683125,0.8485416666666666,0.6627689157368668,0.683125,0.6633001118317159,0.6627689157368669,0.683125,0.6633001118317158,0.683125,0.9585416666666667,0.008171394087146339,0.6279050803229227,0.6410152654050612,0.9355434374999999,0.9355434375,0.7596541316723342,1.290656328201294,0.08022597286850214,1
ablation,wo_mixup,42,0.6604166666666667,0.6604166666666667,0.965625,0.6643802087914848,0.6604166666666667,0.6345908112608908,0.664380208791485,0.6604166666666667,0.6345908112608908,0.6604166666666667,0.9432083333333335,0.2629256594779827,0.5969835579181604,0.6224980475626121,0.9176021614583334,0.9176021614583334,0.7720773859306448,1.287176251411438,0.20484192371057966,0
ablation,wo_mixup_cooldown,1234,0.688125,0.688125,0.8720833333333333,0.7302577593754535,0.688125,0.6819198407430384,0.7302577593754533,0.688125,0.6819198407430384,0.688125,0.956875,0.46117617358410223,0.6328182487122884,0.6471111725235791,0.8999823697916667,0.8999823697916668,0.7421471996131119,1.305269718170166,0.08819239895169936,0
ablation,wo_mixup_cooldown,2024,0.66375,0.66375,0.954375,0.6090325283654184,0.66375,0.6264697452446878,0.6090325283654183,0.66375,0.6264697452446877,0.66375,0.9409583333333335,0.2669223915191715,0.5997850973261147,0.6130988461787379,0.8991371354166665,0.8991371354166667,0.710115612406217,1.2722136974334717,0.18623555385197202,0
ablation,wo_mixup_cooldown,42,0.6164583333333333,0.6164583333333332,0.835625,0.7016066042386203,0.6164583333333332,0.6414909014123024,0.7016066042386204,0.6164583333333333,0.6414909014123024,0.6164583333333332,0.9711666666666666,0.007494414961440915,0.5607777645234403,0.5772024416439391,0.9282563020833332,0.9282563020833333,0.7682853064479264,1.5423972606658936,0.10280603597251077,1
