class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,1.0,0.0,0.0
cashew healthy,0.0,0.0,0.9991666666666666,0.0,0.0
jackfruit algal,0.0,0.0,0.9985416666666667,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.9922916666666667,0.0,0.0
jackfruit healthy,0.0,0.0,0.949375,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.9985416666666667,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.97,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.978125,0.0,0.0
mango anthracnose,0.9285714285714286,0.01625,0.99975,0.03194103194103194,800.0
mango die back,0.9894291754756871,0.585,0.99875,0.7352710133542812,800.0
mango gall midge,0.17551020408163265,0.16125,0.8485,0.16807817589576549,800.0
mango healthy,0.47436773752563227,0.8675,0.80775,0.6133451171011931,800.0
mango powdery mildew,0.415351506456241,0.72375,0.79625,0.5278030993618961,800.0
mango sooty mould,0.39080459770114945,0.085,0.9735,0.13963039014373715,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,1.0,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,1.0,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
