group,n_views,internal_accuracy,internal_f1_macro,internal_eval_sec,external_accuracy,external_f1_macro,latency_ms,fps
none,1,0.9916434540389972,0.9887323660321372,2.1,0.6975,0.6793725284988716,9.382,106.6
klein,4,0.989786443825441,0.9865157954700685,13.0,0.7054166666666667,0.6846805767012194,36.46,27.4
dihedral8,8,0.989786443825441,0.9868678250267761,20.9,0.71875,0.6910488194315629,93.886,10.7
