epoch,phase,train_loss,train_acc,val_loss,val_acc,val_score,val_src,mixup,lr,epoch_sec,val_score_raw,val_acc_raw,val_score_ema,val_acc_ema
0,1,1.9133749364501802,0.4417910447761194,0.8696779458192951,0.9303621169916435,0.9208477472245606,ema,1,0.001,39.56,0.891364439790455,0.903435468895079,0.9208477472245606,0.9303621169916435
1,1,1.5193168115615845,0.5393034825870647,0.7906161659607316,0.9350046425255338,0.9253093981249345,ema,1,0.001,16.8,0.8759014647873291,0.8987929433611885,0.9253093981249345,0.9350046425255338
2,2,1.234740278614101,0.6642786069651742,0.7242406568487375,0.968430826369545,0.9633712260567906,raw,1,0.0001,35.2,0.9633712260567906,0.968430826369545,0.9571633486251717,0.9628597957288765
3,2,1.1535588016320224,0.6248756218905472,0.686327836196956,0.9795728876508821,0.9756467827403663,raw,1,0.0001,34.91,0.9756467827403663,0.9795728876508821,0.9725421152755901,0.9767873723305478
4,2,1.0759442244833382,0.6413930348258706,0.6725850054923317,0.9805013927576601,0.9761236653641716,ema,1,9.968561049466214e-05,36.78,0.9734580583637188,0.9777158774373259,0.9761236653641716,0.9805013927576601
5,2,1.0344673061489467,0.7146268656716418,0.6598699264428963,0.9832869080779945,0.9795933414742924,ema,1,9.874639560909117e-05,33.85,0.9721967407888967,0.9758588672237697,0.9795933414742924,0.9832869080779945
6,2,1.019670224664223,0.6599004975124378,0.6483526544761303,0.9851439182915506,0.9812227157604547,ema,1,9.719416651541839e-05,34.32,0.9728328877484336,0.978644382544104,0.9812227157604547,0.9851439182915506
7,2,1.0003176330452535,0.6467661691542289,0.6424867738256216,0.9879294336118849,0.9842616672347249,ema,1,9.504844339512095e-05,34.1,0.9835491068155123,0.9870009285051068,0.9842616672347249,0.9879294336118849
8,2,1.0143357730623501,0.7492537313432835,0.636675692202321,0.9916434540389972,0.9894966171122386,ema,1,9.233620996141421e-05,34.34,0.9784194102262866,0.9823584029712163,0.9894966171122386,0.9916434540389972
9,2,0.9823487844158761,0.7066666666666667,0.6320866203573753,0.9916434540389972,0.9894015579019604,ema,1,8.90915741234015e-05,33.99,0.973723264054667,0.9740018570102136,0.9894015579019604,0.9916434540389972
10,2,0.9564309113417099,0.7002985074626865,0.6318574561050011,0.9888579387186629,0.9860403394612381,ema,1,8.535533905932738e-05,32.7,0.9640847677869938,0.9693593314763231,0.9860403394612381,0.9888579387186629
11,2,0.9891352098616795,0.6704477611940298,0.629920112168003,0.9888579387186629,0.9855988184865465,ema,1,8.117449009293668e-05,32.76,0.9821242592594324,0.9860724233983287,0.9855988184865465,0.9888579387186629
12,2,0.9466785278249142,0.7936318407960199,0.6277066282132431,0.989786443825441,0.9869017096131107,ema,1,7.660160382576683e-05,32.69,0.9787292046254418,0.9814298978644382,0.9869017096131107,0.989786443825441
13,2,0.9267408775690184,0.72318407960199,0.6223521323367857,0.9935004642525533,0.9919431204260066,ema,1,7.169418695587791e-05,32.57,0.983393956906301,0.9860724233983287,0.9919431204260066,0.9935004642525533
14,2,0.9080839672373302,0.7070646766169154,0.6211096220472507,0.9916434540389972,0.9892378632159877,ema,1,6.651395309775837e-05,32.44,0.9827433318852085,0.9851439182915506,0.9892378632159877,0.9916434540389972
15,2,0.934589529713588,0.6752238805970149,0.6194447184892972,0.9925719591457753,0.9903736620398356,ema,1,6.112604669781572e-05,32.59,0.9888668042372625,0.9916434540389972,0.9903736620398356,0.9925719591457753
16,2,0.9312971220917963,0.657910447761194,0.6193901194171321,0.9935004642525533,0.9916935977697091,ema,1,5.5598223805165385e-05,32.55,0.9902967814515794,0.9925719591457753,0.9916935977697091,0.9935004642525533
17,2,0.8859368667910941,0.6839800995024876,0.6182452653886659,0.9944289693593314,0.9928342854718244,ema,1,5e-05,32.49,0.9896111681387532,0.9916434540389972,0.9928342854718244,0.9944289693593314
18,2,0.9517487609920217,0.7170149253731344,0.619390258605323,0.9935004642525533,0.9916737514238401,ema,1,4.440177619483462e-05,32.44,0.9845027132310393,0.9879294336118849,0.9916737514238401,0.9935004642525533
19,2,0.9383832873633845,0.6849751243781095,0.6183936152064147,0.9944289693593314,0.9928342854718244,ema,1,3.887395330218429e-05,32.56,0.9738528638395126,0.978644382544104,0.9928342854718244,0.9944289693593314
20,2,0.9122778719930507,0.7221890547263682,0.617698333444923,0.9953574744661096,0.9939808891311218,ema,1,3.3486046902241643e-05,32.58,0.9930786406029855,0.9944289693593314,0.9939808891311218,0.9953574744661096
21,2,0.9221599436517972,0.7733333333333333,0.6168132865993425,0.9953574744661096,0.9939808891311218,ema,1,2.8305813044122097e-05,32.5,0.9913307856114532,0.9935004642525533,0.9939808891311218,0.9953574744661096
22,2,0.8959307634296702,0.7249751243781094,0.6160128675020726,0.9953574744661096,0.9939808891311218,ema,1,2.3398396174233178e-05,32.72,0.9935513401369823,0.9953574744661096,0.9939808891311218,0.9953574744661096
23,2,0.9190312681387907,0.6877611940298507,0.6155075826020626,0.9962859795728877,0.994871275866856,ema,1,1.8825509907063327e-05,32.45,0.9922211723471871,0.9944289693593314,0.994871275866856,0.9962859795728877
24,2,0.6149565264478845,0.9968159203980099,0.6153229930496039,0.9953574744661096,0.9935513401369823,ema,0,1.4644660940672627e-05,32.4,0.9926600188573115,0.9944289693593314,0.9935513401369823,0.9953574744661096
25,2,0.6142309504124656,0.9980099502487563,0.6152996394295547,0.9953574744661096,0.9935513401369823,ema,0,1.0908425876598528e-05,32.47,0.9922211723471871,0.9944289693593314,0.9935513401369823,0.9953574744661096
26,2,0.615604255211294,0.9956218905472637,0.6190284180663311,0.9944289693593314,0.9922211723471871,raw,0,7.663790038585793e-06,32.5,0.9922211723471871,0.9944289693593314,0.9922211723471871,0.9944289693593314
27,2,0.6155607202397058,0.9966169154228856,0.6156325502980055,0.9953574744661096,0.9933747412008282,raw,0,4.951556604879048e-06,32.52,0.9933747412008282,0.9953574744661096,0.9922211723471871,0.9944289693593314
28,2,0.6111983129634193,0.9986069651741294,0.6162890370177692,0.9944289693593314,0.9922211723471871,raw,0,2.8058334845816213e-06,32.48,0.9922211723471871,0.9944289693593314,0.9922211723471871,0.9944289693593314
29,2,0.6129499987464639,0.9978109452736318,0.6154786074947404,0.9944289693593314,0.9922211723471871,ema,0,1.2536043909088136e-06,32.38,0.9911496147844897,0.9935004642525533,0.9922211723471871,0.9944289693593314
30,2,0.6106162331353373,0.9992039800995025,0.615656396085284,0.9944289693593314,0.9922211723471871,ema,0,3.143895053378698e-07,32.55,0.9911496147844897,0.9935004642525533,0.9922211723471871,0.9944289693593314
31,2,0.6118595763581309,0.9986069651741294,0.6158013611672206,0.9944289693593314,0.9922211723471871,ema,0,0.0,32.56,0.9911496147844897,0.9935004642525533,0.9922211723471871,0.9944289693593314
