tag,model,seed,started_at,ended_at,run_duration_sec,train_sec_cumulative,n_epochs
benchmark/vit_base_patch16_224/seed1234,vit_base_patch16_224,1234,2026-08-05T07:51:06,2026-08-05T08:04:36,810.5,752.0,32
benchmark/swin_tiny_patch4_window7_224/seed1234,swin_tiny_patch4_window7_224,1234,2026-08-05T08:04:38,2026-08-05T08:15:06,627.9,586.6,32
benchmark/swin_small_patch4_window7_224/seed1234,swin_small_patch4_window7_224,1234,2026-08-05T08:15:08,2026-08-05T08:25:35,626.4,580.6,20
benchmark/deit3_small_patch16_224/seed1234,deit3_small_patch16_224,1234,2026-08-05T08:25:37,2026-08-05T08:29:40,243.8,209.9,18
benchmark/caformer_s18.sail_in22k_ft_in1k/seed1234,caformer_s18.sail_in22k_ft_in1k,1234,2026-08-05T08:29:43,2026-08-05T08:38:44,541.4,502.6,19
proposed/Proposed_HMLA_CAFormerS18/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-05T08:38:46,2026-08-05T08:57:00,1093.7,1014.9,32
benchmark/resnet50/seed2024,resnet50,2024,2026-08-05T08:57:02,2026-08-05T09:05:01,478.7,435.5,32
benchmark/resnet101/seed2024,resnet101,2024,2026-08-05T09:05:03,2026-08-05T09:16:55,711.2,657.5,32
benchmark/densenet121/seed2024,densenet121,2024,2026-08-05T09:16:57,2026-08-05T09:24:48,471.3,432.1,26
benchmark/densenet201/seed2024,densenet201,2024,2026-08-05T09:24:51,2026-08-05T09:35:19,628.6,581.8,22
benchmark/vgg16/seed2024,vgg16,2024,2026-08-05T09:35:22,2026-08-05T09:51:34,972.5,859.4,32
benchmark/vgg19/seed2024,vgg19,2024,2026-08-05T09:51:37,2026-08-05T10:03:27,710.4,625.6,21
benchmark/inception_v3/seed2024,inception_v3,2024,2026-08-05T10:03:30,2026-08-05T10:09:03,333.5,290.9,23
benchmark/legacy_xception/seed2024,legacy_xception,2024,2026-08-05T10:09:05,2026-08-05T10:17:13,487.4,445.3,28
benchmark/resnext50_32x4d/seed2024,resnext50_32x4d,2024,2026-08-05T10:17:15,2026-08-05T10:26:40,564.5,519.5,32
benchmark/legacy_seresnext50_32x4d/seed2024,legacy_seresnext50_32x4d,2024,2026-08-05T10:26:42,2026-08-05T10:34:43,481.1,437.6,23
benchmark/mobilenetv3_large_100/seed2024,mobilenetv3_large_100,2024,2026-08-05T10:34:46,2026-08-05T10:40:54,367.9,332.2,32
benchmark/mobilenetv2_100/seed2024,mobilenetv2_100,2024,2026-08-05T10:40:57,2026-08-05T10:45:35,278.6,244.4,23
benchmark/efficientnet_b0/seed2024,efficientnet_b0,2024,2026-08-05T10:45:38,2026-08-05T10:50:36,298.5,263.3,24
benchmark/efficientnet_b3/seed2024,efficientnet_b3,2024,2026-08-05T10:50:39,2026-08-05T11:00:14,575.0,532.4,32
benchmark/mnasnet_100/seed2024,mnasnet_100,2024,2026-08-05T11:00:16,2026-08-05T11:04:58,281.6,246.9,24
benchmark/regnety_016/seed2024,regnety_016,2024,2026-08-05T11:05:00,2026-08-05T11:11:43,402.9,362.9,25
benchmark/ghostnet_100/seed2024,ghostnet_100,2024,2026-08-05T11:11:46,2026-08-05T11:17:55,369.3,332.3,30
benchmark/convnext_tiny/seed2024,convnext_tiny,2024,2026-08-05T11:17:58,2026-08-05T11:26:56,538.1,492.4,32
benchmark/convnext_small/seed2024,convnext_small,2024,2026-08-05T11:26:58,2026-08-05T11:40:51,832.5,773.8,32
benchmark/vit_small_patch16_224/seed2024,vit_small_patch16_224,2024,2026-08-05T11:40:53,2026-08-05T11:47:33,399.7,357.3,32
benchmark/vit_base_patch16_224/seed2024,vit_base_patch16_224,2024,2026-08-05T11:47:35,2026-08-05T12:02:01,865.5,790.6,32
benchmark/swin_tiny_patch4_window7_224/seed2024,swin_tiny_patch4_window7_224,2024,2026-08-05T12:02:04,2026-08-05T12:08:00,355.9,314.5,16
benchmark/swin_small_patch4_window7_224/seed2024,swin_small_patch4_window7_224,2024,2026-08-05T12:08:02,2026-08-05T12:25:17,1034.7,971.0,32
benchmark/deit3_small_patch16_224/seed2024,deit3_small_patch16_224,2024,2026-08-05T12:25:19,2026-08-05T12:30:45,325.2,284.7,24
benchmark/caformer_s18.sail_in22k_ft_in1k/seed2024,caformer_s18.sail_in22k_ft_in1k,2024,2026-08-05T12:30:47,2026-08-05T12:45:06,858.2,809.1,30
ablation/full/seed42,caformer_s18.sail_in22k_ft_in1k,42,2026-08-05T12:45:18,2026-08-05T12:59:44,866.0,787.1,24
