class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.96125,0.0,0.0
cashew healthy,0.0,0.0,0.991875,0.0,0.0
jackfruit algal,0.0,0.0,0.99625,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.99625,0.0,0.0
jackfruit healthy,0.0,0.0,0.99125,0.0,0.0
jackfruit leaf spot,0.0,0.0,1.0,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.996875,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9808333333333333,0.0,0.0
mango anthracnose,0.9786381842456608,0.91625,0.996,0.9464170432537121,800.0
mango die back,1.0,0.8175,1.0,0.8995873452544704,800.0
mango gall midge,0.7628128724672228,0.8,0.95025,0.7809640024405126,800.0
mango healthy,0.9184782608695652,0.845,0.985,0.8802083333333334,800.0
mango powdery mildew,0.46436443791329907,0.79,0.81775,0.5849143914854235,800.0
mango sooty mould,0.0625,0.00125,0.99625,0.0024509803921568627,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,1.0,0.0,0.0
tomato curl virus,0.0,0.0,0.9995833333333334,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.9941666666666666,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,0.9989583333333333,0.0,0.0
