class,n_internal,n_external,mean_brightness_internal,mean_brightness_external,mean_brightness_cohens_d,mean_brightness_ks_p,std_brightness_internal,std_brightness_external,std_brightness_cohens_d,std_brightness_ks_p,mean_saturation_internal,mean_saturation_external,mean_saturation_cohens_d,mean_saturation_ks_p,greenness_internal,greenness_external,greenness_cohens_d,greenness_ks_p,sharpness_lapvar_internal,sharpness_lapvar_external,sharpness_lapvar_cohens_d,sharpness_lapvar_ks_p,dark_pixel_fraction_internal,dark_pixel_fraction_external,dark_pixel_fraction_cohens_d,dark_pixel_fraction_ks_p,very_dark_fraction_internal,very_dark_fraction_external,very_dark_fraction_cohens_d,very_dark_fraction_ks_p,background_uniformity_internal,background_uniformity_external,background_uniformity_cohens_d,background_uniformity_ks_p,width_internal,width_external,width_cohens_d,width_ks_p,height_internal,height_external,height_cohens_d,height_ks_p,centroid_cosine,mmd2_rbf,nn_internal_class_top1,nn_internal_class_top1_share,nn_matches_own_class_share,nn_top3
mango anthracnose,150,150,0.7061226538817088,0.6590526902675629,-1.3593539977256137,2.8630071255574174e-36,0.1586577030022939,0.18246476342280707,0.8605547363562848,4.152392639739754e-11,0.1793709138284127,0.22346831858158112,0.6617258008904181,1.2488812931502011e-12,0.017713921864827474,0.04736791968345642,1.8043970572587686,4.9016464406430495e-37,0.0007253080231991286,0.0036217575046854716,4.8692151381628666,2.133112564195991e-89,0.010621811224489797,0.030997953869047617,1.29184380083887,1.725052219777203e-44,0.0018678252551020409,0.012159731079931973,1.774521953534581,4.0897488568188005e-49,0.8950999212265015,0.8997316507498423,0.07029736694109179,0.0008634332052136446,480.0,240.0,,2.133112564195991e-89,360.0,240.0,,2.133112564195991e-89,0.8773282766342163,0.17005539142731418,mango anthracnose,0.7333333333333333,0.7333333333333333,mango anthracnose:110; mango gall midge:33; mango sooty mould:5
mango die back,150,150,0.6681299678484599,0.628011862039566,-1.0130536596991897,2.7942537079801884e-27,0.14664950246612232,0.24368958825866383,3.4213410731745517,7.672348508958754e-61,0.18444160001973312,0.2072032225380341,0.34013897121561604,8.870018441363217e-08,-0.012587387164433797,0.009454798698425294,1.7879101771181831,4.0897488568188005e-49,0.00044231749265842763,0.004639823065372184,2.4058981386921126,2.0538095113907204e-77,0.027556999362244903,0.1446513605442177,3.238507959614582,4.879938980963165e-62,0.004282791241496599,0.05508370535714285,2.961044409320889,1.89383581325682e-68,0.9008263599872589,0.7684408636887868,-1.7774691953483497,9.0288456597289e-35,480.0,240.0,,2.133112564195991e-89,360.0,240.0,,2.133112564195991e-89,0.8476277589797974,0.19957430422546774,mango die back,0.6333333333333333,0.6333333333333333,mango die back:95; mango powdery mildew:38; mango sooty mould:9
mango gall midge,150,150,0.7036623746156693,0.6132390167315801,-1.7230820477621438,1.6287329425393308e-35,0.20892830222845077,0.24540871798992156,1.33599204892492,1.84769076444575e-21,0.14396954675515491,0.2734255688389142,2.337698476429064,4.360394001755339e-50,0.013004786769549052,0.0566745658715566,2.5378720987592365,8.625999947841026e-76,0.000890952879562974,0.00437999125996915,1.7822532005012008,2.0538095113907204e-77,0.06196162840136054,0.12213182929421769,1.0120017956871612,3.994105691075176e-15,0.013784146471088434,0.015058859481292517,0.05959034690065293,4.995525172600805e-13,0.8936112713813782,0.7472507758935293,-1.9919164297657301,1.324769308281905e-38,480.0,240.0,,2.133112564195991e-89,360.0,240.0,,2.133112564195991e-89,0.849894106388092,0.2932526554195626,mango healthy,0.43333333333333335,0.20666666666666667,mango healthy:65; mango sooty mould:32; mango gall midge:31
mango healthy,150,150,0.7245265650749206,0.5685736014445623,-2.279055508894099,3.269921844622385e-55,0.23370055774847667,0.2433675444126129,0.3427199935802691,0.015344284102461966,0.15530966396133106,0.3739191681146622,1.9319683534399328,3.2177088586390493e-47,0.02720924933751424,0.07893207361300786,1.6883677657353862,3.201623438818633e-40,0.001122874382029598,0.0027060137442701184,1.5126350040045187,3.201623438818633e-40,0.04912747130102041,0.2075649713010204,1.7440663404976842,2.089059293829158e-39,0.0029016528486394562,0.009528194090136055,0.5652952482183998,1.4920136895069859e-28,0.8853069345156351,0.7888647425174713,-1.0594559340866474,1.799621291365404e-16,480.0,240.0,,2.133112564195991e-89,360.0,240.0,,2.133112564195991e-89,0.9047108292579651,0.21004158530335615,mango healthy,0.9533333333333334,0.9533333333333334,mango healthy:143; mango gall midge:5; mango anthracnose:2
mango powdery mildew,150,150,0.6567232628663381,0.6175261807441711,-0.8338766922506071,1.965831665143835e-13,0.24056358416875204,0.24523883630832036,0.21457440358663404,0.0013578778610396696,0.15304468584557374,0.2333144497871399,1.7029121353457441,4.9016464406430495e-37,0.010731176932652792,0.04423669179280599,2.409759298137888,1.6399103074153457e-64,0.0015207156032556667,0.011403985982760788,2.0735399601286315,2.0538095113907204e-77,0.05144026360544218,0.09536963222789116,0.9486153098866005,1.48581352252757e-22,0.004461362670068027,0.007883981717687075,0.3265100713592204,1.48581352252757e-22,0.8403955698013306,0.7752475726604462,-0.6346582922780633,2.1627797293112613e-08,480.0,240.0,,2.133112564195991e-89,360.0,240.0,,2.133112564195991e-89,0.9089688658714294,0.10253091590802466,mango powdery mildew,0.5866666666666667,0.5866666666666667,mango powdery mildew:88; mango sooty mould:40; mango healthy:19
mango sooty mould,150,150,0.6672047392527263,0.6117814562718074,-1.348327991410115,7.58847782159937e-25,0.265101822912693,0.25667174448569613,-0.42560636127681223,0.000541395955715701,0.1654398733874162,0.21313464631636939,1.052533593824578,2.897260045106925e-14,0.015437895059585571,0.03851850171883901,2.3333870295688763,4.1665344144178423e-53,0.001017825113182577,0.006744719132160147,4.076926697360509,2.133112564195991e-89,0.11416321215986396,0.15558142006802722,0.6762827986813195,4.964595795139777e-09,0.011191273384353743,0.02779243728741496,0.5790702049266598,2.0895602771964966e-17,0.8354842460155487,0.7943053805828094,-0.41350435230236704,2.3292369663354756e-06,480.0,240.0,,2.133112564195991e-89,360.0,240.0,,2.133112564195991e-89,0.8806073069572449,0.18683478782467156,mango sooty mould,0.4,0.4,mango sooty mould:60; mango powdery mildew:44; mango healthy:19
