tag,experiment,model,recipe,tta_group,repeat_id,seed,split,n_test,accuracy,balanced_accuracy,top5_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,sensitivity_macro,specificity_macro,g_mean_macro,cohen_kappa,mcc,auc_macro_ovr,auc_weighted_ovr,average_precision_macro,log_loss,ece,n_zero_recall_classes,params_M,size_MB,gflops,latency_ms,latency_ms_single_pass,tta_views,fps,train_sec,n_epochs,best_epoch,select_src,hier_beta,proto_P1_accuracy,proto_P1_f1_macro,proto_P2_f1_macro,proto_P3_accuracy,proto_P3_f1_macro,proto_leakage_rate,proto_mean_prob_mass_on_absent,proto_off_plant_rate
benchmark/vgg16/seed42,benchmark,vgg16,standard,none,0,42,external,4800,0.178958,0.178958,0.670833,0.662784,0.178958,0.258275,0.662784,0.178958,0.258275,0.178958,0.987917,0.002163,0.144841,0.167354,0.790209,0.790209,0.560796,2.920347,0.279038,1,134.347,512.49,15.466258432,18.391,18.391,1,54.4,1688.4,32,25,raw,,0.17895833333333333,0.25827467713979163,0.07379276489708333,0.536875,0.5086704999423731,0.760625,0.7521242016709342,0.760625
benchmark/vgg19/seed42,benchmark,vgg19,standard,none,0,42,internal_test,1077,0.988858,0.985105,0.999071,0.985487,0.985105,0.985129,0.989052,0.988858,0.988834,0.985105,0.999449,0.984244,0.98825,0.98826,0.998843,0.998955,0.99288,0.136941,0.093686,0,139.656,532.75,19.628056576,7.08,7.08,1,141.2,1940.8,32,28,raw,,,,,,,,,
benchmark/vgg19/seed42,benchmark,vgg19,standard,none,0,42,external,4800,0.2975,0.2975,0.688125,0.716328,0.2975,0.408011,0.716328,0.2975,0.408011,0.2975,0.987542,0.003966,0.252687,0.290727,0.798342,0.798342,0.627225,2.616505,0.232203,1,139.656,532.75,19.628056576,7.08,7.08,1,141.2,1940.8,32,28,raw,,0.2975,0.40801108641965866,0.11657459611990245,0.6125,0.5911015049659368,0.6402083333333334,0.6745463440090801,0.6402083333333334
benchmark/inception_v3/seed42,benchmark,inception_v3,standard,none,0,42,internal_test,1077,0.986072,0.982619,0.998143,0.983007,0.982619,0.982391,0.986658,0.986072,0.98602,0.982619,0.99931,0.981686,0.985313,0.985344,0.997443,0.997997,0.983608,0.145256,0.090005,0,21.829,83.27,2.845264,9.857,9.857,1,101.4,645.4,32,26,raw,,,,,,,,,
benchmark/inception_v3/seed42,benchmark,inception_v3,standard,none,0,42,external,4800,0.53,0.53,0.810208,0.679286,0.53,0.579626,0.679286,0.53,0.579626,0.53,0.964792,0.006715,0.467317,0.487859,0.895417,0.895417,0.729297,1.787784,0.047212,1,21.829,83.27,2.845264,9.857,9.857,1,101.4,645.4,32,26,raw,,0.53,0.5796256060698761,0.16560731601996465,0.6964583333333333,0.650934940148806,0.2939583333333333,0.47454564917204456,0.2939583333333333
benchmark/legacy_xception/seed42,benchmark,legacy_xception,standard,none,0,42,internal_test,1077,0.983287,0.978164,0.998143,0.981559,0.978164,0.977555,0.986264,0.983287,0.983159,0.978164,0.999175,0.975343,0.982377,0.982502,0.998264,0.998725,0.991292,0.179752,0.108537,0,20.85,79.54,4.574196,4.712,4.712,1,212.2,960.0,32,23,raw,,,,,,,,,
benchmark/legacy_xception/seed42,benchmark,legacy_xception,standard,none,0,42,external,4800,0.607917,0.607917,0.876042,0.630458,0.607917,0.587509,0.630458,0.607917,0.587509,0.607917,0.944625,0.007264,0.540097,0.562359,0.892823,0.892823,0.717533,1.525342,0.053045,1,20.85,79.54,4.574196,4.712,4.712,1,212.2,960.0,32,23,raw,,0.6079166666666667,0.587508853222419,0.16785967234926255,0.6535416666666667,0.5966330768563757,0.11520833333333333,0.2761438560066381,0.11520833333333333
benchmark/resnext50_32x4d/seed42,benchmark,resnext50_32x4d,standard,none,0,42,internal_test,1077,0.986072,0.981934,0.999071,0.984223,0.981934,0.981541,0.98792,0.986072,0.98591,0.981934,0.999311,0.980081,0.985313,0.985395,0.999844,0.999881,0.99625,0.159137,0.111166,0,23.023,87.83,4.257376256,6.57,6.57,1,152.2,846.8,27,18,raw,,,,,,,,,
benchmark/resnext50_32x4d/seed42,benchmark,resnext50_32x4d,standard,none,0,42,external,4800,0.585625,0.585625,0.842292,0.659716,0.585625,0.591352,0.659716,0.585625,0.591352,0.585625,0.948083,0.299275,0.517682,0.535173,0.9058,0.9058,0.736877,1.561007,0.057325,0,23.023,87.83,4.257376256,6.57,6.57,1,152.2,846.8,27,18,raw,,0.585625,0.5913521656444902,0.1689577616127115,0.6541666666666667,0.6111565383878187,0.15479166666666666,0.34557121258564316,0.15479166666666666
benchmark/legacy_seresnext50_32x4d/seed42,benchmark,legacy_seresnext50_32x4d,standard,none,0,42,internal_test,1077,0.990715,0.986763,0.999071,0.989396,0.986763,0.986657,0.992375,0.990715,0.990553,0.986763,0.999542,0.984957,0.990209,0.990283,0.998728,0.998878,0.992,0.120438,0.069199,0,25.554,97.48,4.2598912,10.244,10.244,1,97.6,1097.1,32,26,raw,,,,,,,,,
benchmark/legacy_seresnext50_32x4d/seed42,benchmark,legacy_seresnext50_32x4d,standard,none,0,42,external,4800,0.657083,0.657083,0.865208,0.766695,0.657083,0.690643,0.766695,0.657083,0.690643,0.657083,0.975625,0.432771,0.605922,0.61916,0.932542,0.932542,0.804729,1.32434,0.065631,0,25.554,97.48,4.2598912,10.244,10.244,1,97.6,1097.1,32,26,raw,,0.6570833333333334,0.6906430381405008,0.19732658232585734,0.7545833333333334,0.7112262667092989,0.22104166666666666,0.31184049576965206,0.22104166666666666
benchmark/mobilenetv3_large_100/seed42,benchmark,mobilenetv3_large_100,standard,none,0,42,internal_test,1077,0.983287,0.979407,0.999071,0.980414,0.979407,0.978748,0.985059,0.983287,0.983321,0.979407,0.999174,0.978063,0.982377,0.982445,0.998987,0.999089,0.993711,0.199702,0.138426,0,4.229,16.13,0.224183296,9.962,9.962,1,100.4,366.3,23,14,raw,,,,,,,,,
benchmark/mobilenetv3_large_100/seed42,benchmark,mobilenetv3_large_100,standard,none,0,42,external,4800,0.608125,0.608125,0.791042,0.745884,0.608125,0.646261,0.745884,0.608125,0.646261,0.608125,0.969417,0.385906,0.551199,0.565374,0.886694,0.886694,0.744181,1.731863,0.206501,0,4.229,16.13,0.224183296,9.962,9.962,1,100.4,366.3,23,14,raw,,0.608125,0.6462608430246037,0.18464595514988677,0.7079166666666666,0.6640411824664953,0.23895833333333333,0.5128334269392023,0.23895833333333333
benchmark/mobilenetv2_100/seed42,benchmark,mobilenetv2_100,standard,none,0,42,internal_test,1077,0.97493,0.969766,0.999071,0.971565,0.969766,0.968771,0.977869,0.97493,0.975023,0.969766,0.99876,0.967372,0.973566,0.973677,0.999422,0.9995,0.989924,0.170512,0.094611,0,2.251,8.59,0.312940096,4.422,4.422,1,226.1,489.6,32,26,raw,,,,,,,,,
benchmark/mobilenetv2_100/seed42,benchmark,mobilenetv2_100,standard,none,0,42,external,4800,0.448333,0.448333,0.734583,0.651472,0.448333,0.501797,0.651472,0.448333,0.501797,0.448333,0.960458,0.005607,0.381766,0.401401,0.877809,0.877809,0.689555,2.059994,0.045575,1,2.251,8.59,0.312940096,4.422,4.422,1,226.1,489.6,32,26,raw,,0.4483333333333333,0.5017970208448458,0.14337057738424164,0.61875,0.5735830476604916,0.3539583333333333,0.537027873434209,0.3539583333333333
benchmark/efficientnet_b0/seed42,benchmark,efficientnet_b0,standard,none,0,42,internal_test,1077,0.979573,0.973325,1.0,0.975216,0.973325,0.972902,0.981084,0.979573,0.979367,0.973325,0.99899,0.970442,0.97846,0.978536,0.999608,0.999705,0.990829,0.159798,0.094677,0,4.034,15.39,0.398099744,12.962,12.962,1,77.2,487.3,27,18,raw,,,,,,,,,
benchmark/efficientnet_b0/seed42,benchmark,efficientnet_b0,standard,none,0,42,external,4800,0.522917,0.522917,0.870417,0.744201,0.522917,0.588154,0.744201,0.522917,0.588154,0.522917,0.965,0.411018,0.460118,0.479115,0.901858,0.901858,0.715802,1.680723,0.100525,0,4.034,15.39,0.398099744,12.962,12.962,1,77.2,487.3,27,18,raw,,0.5229166666666667,0.5881539410840536,0.16804398316687244,0.7027083333333334,0.6852689250752374,0.3020833333333333,0.5119694770928891,0.3020833333333333
benchmark/efficientnet_b3/seed42,benchmark,efficientnet_b3,standard,none,0,42,internal_test,1077,0.975859,0.970118,1.0,0.97241,0.970118,0.969561,0.977981,0.975859,0.975633,0.970118,0.998804,0.967354,0.974544,0.974649,0.999323,0.999431,0.988015,0.213308,0.128832,0,10.729,40.93,0.987252112,20.767,20.767,1,48.2,580.7,20,11,raw,,,,,,,,,
