class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9952083333333334,0.0,0.0
cashew healthy,0.0,0.0,0.9927083333333333,0.0,0.0
jackfruit algal,0.0,0.0,0.9947916666666666,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.990625,0.0,0.0
jackfruit healthy,0.0,0.0,0.9939583333333334,0.0,0.0
jackfruit leaf spot,0.0,0.0,1.0,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.995625,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.9339583333333333,0.0,0.0
mango anthracnose,0.8647686832740213,0.91125,0.9715,0.887401095556908,800.0
mango die back,1.0,0.92125,1.0,0.9590110605074821,800.0
mango gall midge,0.648508430609598,0.625,0.93225,0.6365372374283895,800.0
mango healthy,0.9363867684478372,0.92,0.9875,0.9281210592686002,800.0
mango powdery mildew,0.4860869565217391,0.69875,0.85225,0.5733333333333334,800.0
mango sooty mould,0.0,0.0,0.99725,0.0,800.0
tomato bacterial spot,0.0,0.0,1.0,0.0,0.0
tomato blight,0.0,0.0,1.0,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.9985416666666667,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
