epoch,phase,train_loss,train_acc,val_loss,val_acc,val_score,val_src,mixup,lr,epoch_sec,val_score_raw,val_acc_raw,val_score_ema,val_acc_ema
0,1,2.070397770464124,0.4628855721393035,1.0402875127566558,0.8987929433611885,0.8851381953203711,ema,1,0.001,37.49,0.8629263433206802,0.8867223769730733,0.8851381953203711,0.8987929433611885
1,1,1.6383121761042088,0.5566169154228856,0.9803885279038269,0.9442896935933147,0.9356923029082492,ema,1,0.001,15.08,0.9279917639276386,0.9350046425255338,0.9356923029082492,0.9442896935933147
2,2,1.3694071457279262,0.6722388059701493,0.9359800883654432,0.9749303621169917,0.9710112198117148,raw,1,0.0001,32.49,0.9710112198117148,0.9749303621169917,0.9625889194080973,0.9675023212627669
3,2,1.2917952738235245,0.6296517412935323,0.9152238583166287,0.9758588672237697,0.9720771898740539,ema,1,0.0001,32.86,0.9709068831925409,0.9749303621169917,0.9720771898740539,0.9758588672237697
4,2,1.2133277834707232,0.6509452736318408,0.8964223487574189,0.9814298978644382,0.977315405845298,ema,1,9.968561049466214e-05,32.83,0.9703289924774281,0.9749303621169917,0.977315405845298,0.9814298978644382
5,2,1.180161115079377,0.7166169154228855,0.8858447234832034,0.9823584029712163,0.9784199863097547,ema,1,9.874639560909117e-05,32.69,0.9710878127550838,0.9767873723305478,0.9784199863097547,0.9823584029712163
6,2,1.1727288593818892,0.6618905472636816,0.8688965325789421,0.9879294336118849,0.9849544504685067,ema,1,9.719416651541839e-05,32.46,0.9703494001447373,0.9749303621169917,0.9849544504685067,0.9879294336118849
7,2,1.1276392119678098,0.6493532338308458,0.8570611848804612,0.989786443825441,0.9864742236620129,raw,1,9.504844339512095e-05,32.34,0.9864742236620129,0.989786443825441,0.9839412792425696,0.9870009285051068
8,2,1.170863150803011,0.7468656716417911,0.8656578500069394,0.9870009285051068,0.9844106665120753,ema,1,9.233620996141421e-05,32.34,0.982996797645001,0.9851439182915506,0.9844106665120753,0.9870009285051068
9,2,1.1489541914569799,0.7010945273631841,0.8542101226587924,0.9907149489322191,0.9888071675667925,ema,1,8.90915741234015e-05,32.25,0.9778726184139617,0.9814298978644382,0.9888071675667925,0.9907149489322191
10,2,1.0859136533737184,0.7042786069651741,0.8421000940664676,0.9916434540389972,0.9899443070103837,ema,1,8.535533905932738e-05,32.2,0.9860091582494142,0.9888579387186629,0.9899443070103837,0.9916434540389972
11,2,1.1315791067673793,0.6825870646766169,0.8330057076867687,0.9935004642525533,0.9918262905784665,ema,1,8.117449009293668e-05,32.3,0.9884025566392768,0.9907149489322191,0.9918262905784665,0.9935004642525533
12,2,1.0969854750917918,0.7870646766169154,0.8299859243625829,0.9953574744661096,0.9938856003829073,ema,1,7.660160382576683e-05,32.15,0.9775980817721676,0.9823584029712163,0.9938856003829073,0.9953574744661096
13,2,1.064102994778856,0.728955223880597,0.8296205515981052,0.9935004642525533,0.9918262905784665,ema,1,7.169418695587791e-05,32.18,0.985001486991117,0.9879294336118849,0.9918262905784665,0.9935004642525533
14,2,1.0395636503257562,0.7140298507462687,0.8258842323373177,0.9944289693593314,0.9928073147178309,ema,1,6.651395309775837e-05,32.1,0.9882111064305681,0.9907149489322191,0.9928073147178309,0.9944289693593314
15,2,1.0709644245033834,0.6778109452736318,0.8170331463065541,0.9972144846796658,0.9961988856416707,raw,1,6.112604669781572e-05,32.26,0.9961988856416707,0.9972144846796658,0.9953023513544552,0.9962859795728877
16,2,1.070478278202797,0.6648756218905473,0.8241318721071702,0.9972144846796658,0.9966309926507906,ema,1,5.5598223805165385e-05,32.14,0.9885147030939552,0.9907149489322191,0.9966309926507906,0.9972144846796658
17,2,1.0311327422436196,0.6935323383084577,0.8226123044860507,0.9944289693593314,0.9929772412748962,ema,1,5e-05,32.19,0.9851514344538954,0.9879294336118849,0.9929772412748962,0.9944289693593314
18,2,1.1090623276032026,0.7132338308457712,0.8238799132565824,0.9935004642525533,0.9917081631691579,raw,1,4.440177619483462e-05,32.09,0.9917081631691579,0.9935004642525533,0.9914997074400744,0.9935004642525533
19,2,1.079236081275181,0.6939303482587065,0.8161565906047378,0.9953574744661096,0.9935554258553538,raw,1,3.887395330218429e-05,32.24,0.9935554258553538,0.9953574744661096,0.9926609534012483,0.9944289693593314
20,2,1.0533883297977162,0.7387064676616916,0.8169415784634809,0.9953574744661096,0.9935513401369823,ema,1,3.3486046902241643e-05,32.14,0.9910701525234615,0.9935004642525533,0.9935513401369823,0.9953574744661096
21,2,1.0740112795046906,0.7675621890547264,0.8106183489385089,0.9944289693593314,0.9927509549424892,raw,1,2.8305813044122097e-05,32.08,0.9927509549424892,0.9944289693593314,0.9926609534012483,0.9944289693593314
22,2,1.0288732054458922,0.7279601990049751,0.8142128467227755,0.9953574744661096,0.9935513401369823,ema,1,2.3398396174233178e-05,32.15,0.9931905991809732,0.9944289693593314,0.9935513401369823,0.9953574744661096
23,2,1.068127469719939,0.687363184079602,0.8139478553747179,0.9953574744661096,0.9935513401369823,ema,1,1.8825509907063327e-05,32.22,0.9912659656523011,0.9935004642525533,0.9935513401369823,0.9953574744661096
24,2,0.6269490411269724,0.997412935323383,0.8315045062656633,0.9953574744661096,0.9935513401369823,ema,0,1.4644660940672627e-05,32.08,0.9926600188573115,0.9944289693593314,0.9935513401369823,0.9953574744661096
