class,precision,recall_sensitivity,specificity,f1-score,support
cashew fungal infection,0.0,0.0,0.9964583333333333,0.0,0.0
cashew healthy,0.0,0.0,0.9772916666666667,0.0,0.0
jackfruit algal,0.0,0.0,0.9995833333333334,0.0,0.0
jackfruit anthracnose,0.0,0.0,0.99875,0.0,0.0
jackfruit healthy,0.0,0.0,0.99375,0.0,0.0
jackfruit leaf spot,0.0,0.0,0.9995833333333334,0.0,0.0
jackfruit phyllosticta,0.0,0.0,0.9908333333333333,0.0,0.0
jackfruit sooty mold,0.0,0.0,0.965625,0.0,0.0
mango anthracnose,0.6417391304347826,0.9225,0.897,0.7569230769230769,800.0
mango die back,1.0,0.87375,1.0,0.9326217478318879,800.0
mango gall midge,0.6804123711340206,0.33,0.969,0.4444444444444444,800.0
mango healthy,0.8896276595744681,0.83625,0.97925,0.8621134020618557,800.0
mango powdery mildew,0.44263508512213173,0.7475,0.81175,0.5560204556020456,800.0
mango sooty mould,0.0,0.0,0.9865,0.0,800.0
tomato bacterial spot,0.0,0.0,0.9997916666666666,0.0,0.0
tomato blight,0.0,0.0,1.0,0.0,0.0
tomato curl virus,0.0,0.0,1.0,0.0,0.0
tomato healthy,0.0,0.0,1.0,0.0,0.0
tomato insect damage,0.0,0.0,0.99375,0.0,0.0
tomato leaf mold,0.0,0.0,1.0,0.0,0.0
tomato spider mites,0.0,0.0,1.0,0.0,0.0
